Unique_Patient_Identifier	gene	copy
TCGA-W5-AA34	ATPAF1	amp
TCGA-W5-AA34	TEX38	amp
TCGA-W5-AA34	EFCAB14	amp
TCGA-W5-AA34	CYP4B1	amp
TCGA-W5-AA34	CYP4A11	amp
TCGA-W5-AA34	CYP4X1	amp
TCGA-W5-AA34	CYP4Z1	amp
TCGA-W5-AA34	CYP4A22	amp
TCGA-W5-AA34	PDZK1IP1	amp
TCGA-W5-AA34	TAL1	amp
TCGA-W5-AA34	STIL	amp
TCGA-W5-AA34	CMPK1	amp
TCGA-W5-AA34	FOXE3	amp
TCGA-W5-AA34	FOXD2	amp
TCGA-W5-AA34	TRABD2B	amp
TCGA-W5-AA34	SLC5A9	amp
TCGA-W5-AA34	SPATA6	amp
TCGA-W5-AA34	AGBL4	amp
TCGA-W5-AA34	BEND5	amp
TCGA-W5-AA34	ELAVL4	amp
TCGA-W5-AA34	DMRTA2	amp
TCGA-W5-AA34	FAF1	amp
TCGA-W5-AA34	CDKN2C	amp
TCGA-W5-AA34	C1orf185	amp
TCGA-W5-AA34	RNF11	amp
TCGA-W5-AA34	TTC39A	amp
TCGA-W5-AA34	EPS15	amp
TCGA-W5-AA34	OSBPL9	amp
TCGA-W5-AA34	NRDC	amp
TCGA-W5-AA34	RAB3B	amp
TCGA-W5-AA34	TXNDC12	amp
TCGA-W5-AA34	KTI12	amp
TCGA-W5-AA34	BTF3L4	amp
TCGA-W5-AA34	ZFYVE9	amp
TCGA-W5-AA34	CC2D1B	amp
TCGA-W5-AA34	ORC1	amp
TCGA-W5-AA34	PRPF38A	amp
TCGA-W5-AA34	TUT4	amp
TCGA-W5-AA34	GPX7	amp
TCGA-W5-AA34	SHISAL2A	amp
TCGA-W5-AA34	COA7	amp
TCGA-W5-AA34	ZYG11B	amp
TCGA-W5-AA34	ZYG11A	amp
TCGA-W5-AA34	ECHDC2	amp
TCGA-W5-AA34	SCP2	amp
TCGA-W5-AA34	PODN	amp
TCGA-W5-AA34	SLC1A7	amp
TCGA-W5-AA34	CPT2	amp
TCGA-W5-AA34	CZIB	amp
TCGA-W5-AA34	MAGOH	amp
TCGA-W5-AA34	LRP8	amp
