variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,fdr
pw.1364.tgs,pw.2642,359.414486978749,847.760118337197,3872.82854743638,346.210923919968,0.613451590653647,0.997189312657669,0.00196332670255741,8.4457966162284,2.16403316430334,3.90280368875369,446.137469910229,835.34169110329,28,28,8,601,665,242.191610154998,509.452678007373,597.617121626198,1158.84593948502,1634.34310586762,7757.59069215727,,6396.42476920433,0.00402998638945995
pw.1364.tgs,pw.1866,367.105346416452,842.107177301438,3815.9919741527,0.001,0.257814287948401,0.845659092374257,0.00509143302620209,8.27492138142203,2.21733652671638,3.73191948164776,446.137469911432,820.115294488181,29,30,7,599,665,249.168145918939,517.44735357533,599.035980223604,1143.47647852531,1595.83468075839,7746.87549919054,,4390.63153427918,0.00804996843331952
pw.1364.tgs,pw.735,351.58825207956,832.267062073102,2616.99312890985,164.175095636431,0.687716018560883,0.990178454842982,0.0114059957336042,9.34863023997757,3.34662250558876,2.79345227146642,446.137469911103,816.069090535923,27,47,9,582,665,235.085374193436,501.434828876643,631.849002831583,1070.99843631216,1197.26453041614,4927.8579617207,,4127.27788648767,0.0152079943114723
pw.1364.tgs,pw.686,402.037755921003,792.618080848004,1653.10487910352,2409.64385120527,0.844951128171227,0.924002984343282,0.016683961320381,8.00481931929664,2.76435504711228,2.89572764094058,446.137469910098,833.917088131135,28,38,8,591,665,273.257996109708,564.878742638746,572.696897930211,1061.09611551393,180.206195670856,4132.7910043665,,7192.92513720727,0.0203335778592143
pw.1364.tgs,pw.1211,334.559867329097,754.16196662877,3259.94077173006,2893.34698854975,0.430669787155494,0.884237590651438,2.0755055172271e-06,14.845415404126,3.4627939683488,4.28712061411062,446.137469909262,795.588431403607,22,44,14,585,665,215.65066685841,489.089206784076,565.027058631072,979.664490315055,1322.41862735421,6213.87980936883,,8479.60432523571,3.72890203413913e-05
pw.1364.tgs,pw.1622,329.675226423375,793.825763973031,4922.89235939791,0.001,0.269400639327873,0.906818272699457,5.86650404022024e-05,11.149260864243,2.41650833250736,4.61378953850929,446.137469909525,775.994889435683,26,32,10,597,665,218.626994820358,473.172146881851,577.270772679554,1058.78942325408,2394.86487300276,9067.16968644117,,5005.96839144403,0.000376099163126448
pw.1364.tgs,pw.1114,444.79083077446,669.772666698938,492.448794833094,4454.53341153723,0.999876822276627,0.779127547720598,0.0214392208208967,6.88568783870832,2.25969746117668,3.04717244543116,446.137469910502,772.346404303824,29,31,7,598,665,311.017883504739,611.376939985421,461.203524372671,933.106230315808,,3195.4516336435,1455.32848627387,9765.42239241114,0.0249087030126384
pw.1364.tgs,pw.185,402.667836397531,702.211452175358,2170.92281188433,3246.70657715701,0.8739502523863,0.909319180700419,0.00244816062122494,8.02291138339062,2.09767875197752,3.82466160551385,446.13746991023,767.246223314325,28,27,8,602,665,274.299230573931,564.648252671763,476.665662204556,987.159933218854,120.533758090991,5738.54131595476,,9240.97743893949,0.00460136213145892
pw.1364.tgs,pw.1716,434.354414102629,658.22561033815,856.764293179684,3931.25981393764,0.984760165000194,0.729075053832658,0.0176378342986558,7.09111717726135,2.26146935182708,3.13562382418861,446.137469909406,744.498289788425,29,30,7,599,665,301.476576873532,600.222943699917,451.153947929788,919.856408561197,,3650.31083475294,963.884368326549,9221.4640426139,0.021274501164358
pw.1364.tgs,pw.3365,376.525071684559,721.927090519431,2048.31714184438,1183.86105351704,0.920148812573573,0.99779065283752,0.0128376947437907,9.08032374358525,3.27845591882388,2.76969523715382,446.137469910914,733.637752215324,27,46,9,583,665,252.595260701462,534.968013483305,541.252354069089,937.94117245812,666.477072221432,4299.79833885923,,4977.28675393988,0.0165056075277309
pw.1364.tgs,pw.195,422.728887661646,648.0797597874,1356.95161502884,3581.6925565236,0.963426423914105,0.866976867821935,0.0106017575836522,7.11894743029893,2.07470317015285,3.43130888924918,446.137469910593,723.80365531311,29,27,7,602,665,291.511242114877,587.064624850692,436.272824126682,917.718448512309,,4607.64815446563,441.57820152767,9255.91984458703,0.0143416860872959
pw.1364.tgs,pw.3059,400.730079002743,690.39170414073,1757.14760153036,1449.16642788884,0.926507576215714,0.987399817814891,0.0442989598449121,7.14714834061555,2.65922379988251,2.68768215030691,446.137469909128,710.188543120833,29,37,7,592,665,273.185044726783,562.162065130051,497.695065336683,926.033712444296,302.321871412654,4280.05164623274,,5491.84409425015,0.0456650070647993
pw.1364.tgs,pw.1551,365.641886466295,693.573753635364,2309.17387900309,1273.55335504143,0.816192929596427,0.993182161513922,0.00326783218882479,9.88266978641027,3.24797538772627,3.04271695646333,446.137469906804,708.277466433711,26,43,10,586,665,243.376960359596,522.598051153932,516.233978598789,906.350851382025,825.298168494143,4685.0017614358,,5132.96899636282,0.00562259361900736
pw.2808.tgs,pw.1052.tgs,363.231202077848,416.042049945017,2160.26247370843,0.001,0.3786995234325,0.900839942675836,0.00254527211351589,18.5540423432951,8.21371504539668,2.25890991357116,439.047230847989,401.010614236849,66,78,17,878,1039,282.469182965512,458.110765709793,337.842894864131,505.486375006054,1267.62469880907,3438.69303660071,,975.126567230511,0.00476474939650175
pw.2808.tgs,pw.1438.tgs,443.758443243297,288.535480908635,318.793496446008,1295.13689589192,0.996102270872939,0.637885957601185,0.0154255741005477,14.271742749922,6.65543853147655,2.14437300899475,439.047230846732,329.0628117846,69,62,14,894,1039,352.805897620529,548.839273689026,222.65206534688,366.242308065595,,1509.53907973167,629.966653695466,2279.02811414227,0.0191489885386109
pw.2808.tgs,pw.1320,361.035788305731,1064.49439463159,3235.49249562024,0.001,0.323982852618915,0.882423896989879,0.00193566250771132,10.9941222774459,3.52612056650393,3.117908781079,436.566253089235,1025.11435265506,42,31,10,582,665,262.534896088363,481.571329816108,770.944346025325,1424.60600109373,1572.60605555126,5997.72158991762,,4341.36698185128,0.00400836306906592
pw.2808.tgs,pw.167,390.092116204886,949.621966211772,2235.50607384239,969.411721699095,0.740303651294573,0.999990620550183,0.0250677412204992,8.17085746033668,3.03091395183924,2.69583946960235,436.5662530877,950.071713542593,44,29,8,584,665,286.065554001154,516.616877613289,665.880311879339,1302.0802451456,782.757008198005,4744.93811662827,,5498.20777529146,0.0286139094907162
pw.2808.tgs,pw.3070,406.379632793637,775.283685452985,1717.69974745102,3594.0182428996,0.894060414921074,0.866385860729837,0.00142006058601268,10.7768159357411,3.22816953474743,3.33836739977298,436.566253086357,878.780039444395,42,26,10,587,665,298.417298298409,536.859042910341,521.938098242134,1096.47723984262,62.2403567514646,4513.70338740929,433.694332211073,8677.14555886347,0.00325778605026438
pw.2808.tgs,pw.1563,364.766969236705,854.542398249832,2280.89007743802,430.324783958998,0.692768708037371,0.994693315840688,0.00869246793093856,11.2023623870209,4.42130884563372,2.53372084560069,436.56625308925,838.722259308249,41,40,11,573,665,264.22716890132,488.016797380482,636.998346267224,1116.0472340016,1064.0405489303,4224.32398081142,,3628.3263643784,0.0122064959661651
pw.2808.tgs,pw.1866,359.807313305263,852.464455816232,3816.00603859764,0.001,0.182005751664691,0.781676349342219,0.000552051224238907,11.4708911427958,3.27226106518475,3.50549388153666,436.566253089302,820.115294497231,42,27,10,586,665,261.641413874007,479.929942492096,606.391165968192,1157.56775241152,1838.72651072534,7148.86389983103,,3281.98396162427,0.00157816771867332
pw.2808.tgs,pw.735,339.82403116386,846.245067999447,2759.50827680201,0.001,0.485424109820094,0.888403635059635,0.0011537671097669,13.5250608724413,4.91180573578177,2.75358220580942,436.566253087991,816.069090537034,39,43,13,570,665,243.98651300683,458.002508260491,643.389555993107,1087.90468636422,1473.4957039298,4759.64872467786,,2842.00278113179,0.00274092897142594
pw.2808.tgs,pw.1211,361.712401405384,789.407806347203,2176.15098070288,970.63020786171,0.61841709005355,0.998500251556393,0.00186091484404194,13.5711577578006,5.07687736928203,2.67313089733341,436.566253087697,795.588431399169,39,45,13,568,665,260.138229009621,486.564149044212,595.754428723979,1019.63711410791,975.547221680892,4032.11199103061,,3986.61334339434,0.00387070287560724
pw.2808.tgs,pw.444,376.864478903262,795.976381250016,2726.28753758342,492.733336887308,0.659026014463083,0.997530564702232,0.00745886913805389,9.866409330603,3.37256481833043,2.92549138773478,436.566253089286,785.018880600205,43,30,9,583,665,275.189463529424,500.925041464745,566.719671234183,1078.79656572389,1147.01831162307,5400.57659912747,,4332.56654345939,0.0107078244067768
pw.2808.tgs,pw.1114,440.598903201308,610.154357176285,296.681813425334,4689.90661108019,0.998286181607771,0.640273000883207,0.00352055897202961,10.0514635063256,3.34937086557442,3.00100045941068,436.566253088678,772.346404298446,42,28,10,585,665,329.522466186826,573.834830512361,411.302823317863,864.492173927156,,2489.26582987395,2095.79904948259,8861.577130303,0.00599135126876312
pw.2808.tgs,pw.1716,450.312089260183,608.141408998006,0.001,3792.41171159199,0.853077006137896,0.529768802650742,0.0454742361534238,7.8963686879237,3.3296237539605,2.37154984208987,436.566253088833,744.498289793348,44,29,8,584,665,338.683323232931,584.167811202089,412.733685315564,857.287643436733,,1603.02402248868,1696.64774558268,7319.38604643065,0.0463255976360284
pw.2808.tgs,pw.195,414.317164178978,613.627582401942,1350.34444259457,3399.34113817037,0.984802859760878,0.945527666804685,0.00165510550143177,10.211748047525,3.13561465117449,3.25669738904301,436.566253088561,723.803655312186,42,24,10,589,665,305.361479355804,545.685653827766,404.010850628981,882.96772001244,,4061.52503014318,789.270687513599,7636.10477546079,0.0036027412775352
